epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,42.1758,1.13661,1.2952,1.36712,0.19513,0.28358,0.12657,0.055,1.92996,8.299,2.06316,0.0701523,0.00331641,0.00331641
2,82.4424,1.12844,0.9252,1.34222,0.75101,0.82143,0.8613,0.55239,1.20649,1.49817,1.51413,0.04007,0.00656746,0.00656746
3,122.136,1.01679,0.79892,1.26373,0.82618,0.93363,0.92723,0.66954,0.97473,1.61009,1.32677,0.0099052,0.009736,0.009736
4,161.87,0.90214,0.70435,1.19687,0.87479,0.91964,0.93198,0.71437,0.89641,0.68285,1.25431,0.00962875,0.00962875,0.00962875
5,201.597,0.82322,0.64746,1.14818,0.92815,0.88393,0.95839,0.77641,0.75512,1.10201,1.14155,0.009505,0.009505,0.009505
