epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,1773.59,0.4687,0.31765,0.951,0.97206,1,0.99411,0.90346,0.45983,0.2708,0.92073,0.0048025,0.0048025,0.0048025
44,1813.75,0.47433,0.31602,0.95407,0.97274,0.99107,0.99384,0.89782,0.47828,0.3027,0.9259,0.00467875,0.00467875,0.00467875
45,1855.08,0.46545,0.30771,0.94715,1,0.98827,0.995,0.89957,0.46381,0.2601,0.91433,0.004555,0.004555,0.004555
46,1897.55,0.46836,0.30806,0.95149,0.98718,1,0.99456,0.90778,0.43327,0.26237,0.90374,0.00443125,0.00443125,0.00443125
47,1937.51,0.45437,0.30181,0.94493,0.97288,1,0.9942,0.91347,0.43624,0.27176,0.89629,0.0043075,0.0043075,0.0043075
48,1979.23,0.45664,0.29864,0.9463,0.99069,0.99107,0.995,0.91893,0.41813,0.25772,0.88848,0.00418375,0.00418375,0.00418375
49,2023.68,0.44496,0.29219,0.94339,0.98173,1,0.99491,0.91616,0.41232,0.25556,0.88704,0.00406,0.00406,0.00406
50,2068.68,0.44899,0.29387,0.94573,0.97312,1,0.99465,0.91529,0.44282,0.26651,0.89183,0.00393625,0.00393625,0.00393625
51,2112.63,0.43208,0.28477,0.93666,0.95464,1,0.99403,0.91111,0.41726,0.26029,0.88414,0.0038125,0.0038125,0.0038125
52,2153.2,0.43733,0.28797,0.93813,0.986,0.99107,0.99455,0.90564,0.42483,0.24241,0.89346,0.00368875,0.00368875,0.00368875
53,2195.33,0.44059,0.29183,0.94253,0.98244,0.99908,0.99482,0.9166,0.41742,0.25152,0.89382,0.003565,0.003565,0.003565
54,2237.35,0.43297,0.28717,0.93922,0.96544,1,0.99349,0.90741,0.43736,0.26803,0.912,0.00344125,0.00344125,0.00344125
55,2277.62,0.43346,0.28399,0.9358,0.98127,0.99107,0.99482,0.9181,0.43235,0.25663,0.89373,0.0033175,0.0033175,0.0033175
56,2317.63,0.41808,0.27315,0.92686,0.99837,1,0.995,0.91775,0.42253,0.25906,0.88955,0.00319375,0.00319375,0.00319375
57,2357.86,0.41525,0.27341,0.92772,0.98808,0.99107,0.995,0.91116,0.43448,0.26149,0.89488,0.00307,0.00307,0.00307
58,2398.49,0.42,0.27255,0.93085,0.99805,1,0.995,0.91376,0.43736,0.25324,0.91094,0.00294625,0.00294625,0.00294625
